game_id,season,type,date_time,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz
2012020238,20122013,R,22-02-13,2013-02-22T00:00:00Z,13,4,5,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020141,20132014,R,24-10-13,2013-10-24T23:00:00Z,3,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020711,20132014,R,17-01-14,2014-01-17T00:00:00Z,18,4,4,3,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020342,20122013,R,08-03-13,2013-03-08T00:00:00Z,5,4,5,4,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020648,20122013,R,18-04-13,2013-04-18T23:30:00Z,1,4,3,0,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020402,20122013,R,15-03-13,2013-03-15T23:00:00Z,1,4,1,2,home win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020039,20132014,R,08-10-13,2013-10-08T23:00:00Z,13,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020084,20132014,R,15-10-13,2013-10-15T23:00:00Z,23,4,3,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020776,20132014,R,25-01-14,2014-01-25T18:00:00Z,6,4,6,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020099,20132014,R,17-10-13,2013-10-17T23:00:00Z,5,4,4,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020977,20132014,R,11-03-14,2014-03-11T23:00:00Z,1,4,2,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020872,20132014,R,08-02-14,2014-02-08T18:00:00Z,20,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020270,20122013,R,26-02-13,2013-02-26T00:00:00Z,10,4,4,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020371,20122013,R,10-03-13,2013-03-10T23:30:00Z,7,4,2,3,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020346,20132014,R,24-11-13,2013-11-24T00:00:00Z,2,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020506,20122013,R,30-03-13,2013-03-30T17:00:00Z,6,4,1,3,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021055,20132014,R,22-03-14,2014-03-22T17:00:00Z,19,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020001,20122013,R,19-01-13,2013-01-19T20:00:00Z,5,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021102,20132014,R,28-03-14,2014-03-28T23:00:00Z,10,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020191,20132014,R,01-11-13,2013-11-01T23:00:00Z,15,4,7,0,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020133,20122013,R,06-02-13,2013-02-06T00:30:00Z,14,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020694,20122013,R,25-04-13,2013-04-25T23:00:00Z,2,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020483,20122013,R,26-03-13,2013-03-26T23:30:00Z,3,4,5,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020314,20132014,R,20-11-13,2013-11-20T00:00:00Z,9,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020112,20122013,R,03-02-13,2013-02-03T00:00:00Z,12,4,3,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020232,20132014,R,08-11-13,2013-11-08T00:00:00Z,1,4,3,0,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020144,20122013,R,08-02-13,2013-02-08T00:00:00Z,13,4,3,2,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020383,20132014,R,29-11-13,2013-11-29T16:30:00Z,52,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020493,20122013,R,28-03-13,2013-03-28T23:00:00Z,2,4,4,3,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020525,20132014,R,20-12-13,2013-12-20T00:00:00Z,29,4,4,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020797,20132014,R,29-01-14,2014-01-29T00:00:00Z,17,4,0,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020657,20132014,R,09-01-14,2014-01-09T00:30:00Z,8,4,1,3,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021005,20132014,R,15-03-14,2014-03-15T17:00:00Z,5,4,0,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
