gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
57786,201103090PHI,NBA,0,2011,09-03-11,64,0,PHI,Sixers,105,1580.239,1570.8591,47.992168,OKC,Thunder,110,1594.6166,1603.9965,H,L,0.62078524,NULL
57384,201101110PHI,NBA,0,2011,11-01-11,38,0,PHI,Sixers,103,1482.1699,1468.7327,37.358177,IND,Pacers,111,1460.6655,1474.1028,H,L,0.66806263,NULL
57619,201102110PHI,NBA,0,2011,11-02-11,53,0,PHI,Sixers,77,1539.2125,1548.769,45.722954,SAS,Spurs,71,1700.6785,1691.1219,H,W,0.41245484,NULL
57799,201103110PHI,NBA,0,2011,11-03-11,65,0,PHI,Sixers,89,1570.8591,1576.2245,48.537292,BOS,Celtics,86,1659.806,1654.4407,H,W,0.51590133,NULL
58037,201104110PHI,NBA,0,2011,11-04-11,81,0,PHI,Sixers,85,1555.4669,1544.0529,45.234158,ORL,Magic,95,1628.85,1640.264,H,L,0.53823012,NULL
57625,201102120MIN,NBA,1,2011,12-02-11,54,0,PHI,Sixers,107,1548.769,1559.2483,46.803997,MIN,Timberwolves,87,1339.5634,1329.0841,A,W,0.65218067,NULL
57808,201103120MIL,NBA,1,2011,12-03-11,66,0,PHI,Sixers,74,1576.2245,1553.1826,46.179165,MIL,Bucks,102,1447.5198,1470.5616,A,L,0.54121566,NULL
58461,201202010PHI,NBA,0,2012,01-02-12,22,0,PHI,Sixers,98,1577.6396,1591.4854,50.035847,CHI,Bulls,82,1673.5089,1659.6632,H,W,0.50594431,NULL
59142,201205010CHI,NBA,1,2012,01-05-12,68,1,PHI,Sixers,109,1505.9465,1536.599,44.421246,CHI,Bulls,92,1672.8375,1642.1851,A,W,0.1770668,NULL
59446,201212010CHI,NBA,1,2013,01-12-12,17,0,PHI,Sixers,88,1509.9822,1506.4753,41.240723,CHI,Bulls,93,1572.684,1576.1908,A,L,0.28159034,NULL
58673,201203020PHI,NBA,0,2012,02-03-12,37,0,PHI,Sixers,105,1558.7183,1566.9462,47.555759,GSW,Warriors,83,1483.9819,1475.754,H,W,0.7322098,NULL
58479,201202030PHI,NBA,0,2012,03-02-12,23,0,PHI,Sixers,79,1591.4854,1572.7358,48.146103,MIA,Heat,99,1653.2457,1671.9952,H,L,0.55481011,NULL
58935,201204030MIA,NBA,1,2012,03-04-12,53,0,PHI,Sixers,93,1544.8475,1542.2441,45.008526,MIA,Heat,99,1684.9484,1687.5518,A,L,0.2006669,NULL
58228,201201040NOH,NBA,1,2012,04-01-12,5,0,PHI,Sixers,101,1555.1832,1565.1575,47.372799,NOH,Pelicans,93,1481.4559,1471.4817,A,W,0.46226245,NULL
58481,201202040ATL,NBA,1,2012,04-02-12,24,0,PHI,Sixers,98,1572.7358,1587.6116,49.648407,ATL,Hawks,87,1562.8093,1547.9336,A,W,0.37320197,NULL
58689,201203040PHI,NBA,0,2012,04-03-12,38,0,PHI,Sixers,91,1566.9462,1560.3737,46.882214,CHI,Bulls,96,1685.1808,1691.7533,H,L,0.47378233,NULL
58946,201204040PHI,NBA,0,2012,04-04-12,54,0,PHI,Sixers,78,1542.2441,1507.8627,41.414894,TOR,Raptors,99,1390.386,1424.7675,H,L,0.80996948,NULL
59151,201205040PHI,NBA,0,2012,04-05-12,69,1,PHI,Sixers,79,1536.599,1543.7816,45.168198,CHI,Bulls,74,1642.1851,1635.0024,H,W,0.49196172,NULL
59250,201211040NYK,NBA,1,2013,04-11-12,2,0,PHI,Sixers,84,1545.1703,1535.9276,44.322834,NYK,Knicks,100,1548.2699,1557.5126,A,L,0.35583472,NULL
59468,201212040PHI,NBA,0,2013,04-12-12,18,0,PHI,Sixers,88,1506.4753,1481.4749,38.620964,MIN,Timberwolves,105,1430.689,1455.6895,H,L,0.73339331,NULL
58696,201203050MIL,NBA,1,2012,05-03-12,39,0,PHI,Sixers,93,1560.3737,1553.8994,46.215549,MIL,Bucks,97,1453.9633,1460.4375,A,L,0.5092243,NULL
59259,201211050PHI,NBA,0,2013,05-11-12,3,0,PHI,Sixers,88,1535.9276,1513.0991,41.935371,NYK,Knicks,110,1557.5126,1580.3411,H,L,0.61097044,NULL
58244,201201060PHI,NBA,0,2012,06-01-12,6,0,PHI,Sixers,96,1565.1575,1570.707,47.939571,DET,Pistons,73,1407.7842,1402.2346,H,W,0.81480807,NULL
58503,201202060PHI,NBA,0,2012,06-02-12,25,0,PHI,Sixers,95,1587.6116,1592.2241,50.109547,LAL,Lakers,90,1583.8232,1579.2107,H,W,0.64507353,NULL
59159,201205060PHI,NBA,0,2012,06-05-12,70,1,PHI,Sixers,89,1543.7816,1551.9247,46.011631,CHI,Bulls,82,1635.0024,1626.8594,H,W,0.51263154,NULL
58257,201201070PHI,NBA,0,2012,07-01-12,7,0,PHI,Sixers,97,1570.707,1576.2698,48.504959,TOR,Raptors,62,1358.2721,1352.7094,H,W,0.85796869,NULL
58716,201203070PHI,NBA,0,2012,07-03-12,40,0,PHI,Sixers,103,1553.8994,1567.6658,47.629292,BOS,Celtics,71,1530.8003,1517.0339,H,W,0.67009515,NULL
58972,201204070PHI,NBA,0,2012,07-04-12,55,0,PHI,Sixers,82,1507.8627,1497.5348,40.331619,ORL,Magic,88,1521.5652,1531.8931,H,L,0.62169957,NULL
59275,201211070NOH,NBA,1,2013,07-11-12,4,0,PHI,Sixers,77,1513.0991,1529.5587,43.658337,NOH,Pelicans,62,1471.2083,1454.7487,A,W,0.41714537,NULL
59491,201212070PHI,NBA,0,2013,07-12-12,19,0,PHI,Sixers,95,1481.4749,1485.0757,38.997593,BOS,Celtics,94,1551.0228,1547.422,H,W,0.54371214,NULL
58519,201202080PHI,NBA,0,2012,08-02-12,26,0,PHI,Sixers,90,1592.2241,1579.098,48.791306,SAS,Spurs,100,1623.4845,1636.6106,H,L,0.59765339,NULL
58974,201204080BOS,NBA,1,2012,08-04-12,56,0,PHI,Sixers,79,1497.5348,1489.6221,39.502216,BOS,Celtics,103,1592.4917,1600.4044,A,L,0.24559194,NULL
59163,201205080CHI,NBA,1,2012,08-05-12,71,1,PHI,Sixers,69,1551.9247,1547.6625,45.570656,CHI,Bulls,77,1626.8594,1631.1216,A,L,0.26756638,NULL
59495,201212080BOS,NBA,1,2013,08-12-12,20,0,PHI,Sixers,79,1485.0757,1478.9594,38.358089,BOS,Celtics,92,1547.422,1553.5383,A,L,0.28200448,NULL
58269,201201090PHI,NBA,0,2012,09-01-12,8,0,PHI,Sixers,96,1576.2698,1581.4487,49.028706,IND,Pacers,86,1513.8732,1508.6942,H,W,0.71805418,NULL
58730,201203090PHI,NBA,0,2012,09-03-12,41,0,PHI,Sixers,104,1567.6658,1573.381,48.2117,UTA,Jazz,91,1491.4326,1485.7174,H,W,0.7338959,NULL
59281,201211090BOS,NBA,1,2013,09-11-12,5,0,PHI,Sixers,106,1529.5587,1541.76,44.929829,BOS,Celtics,100,1574.5995,1562.3982,A,W,0.30260539,NULL
58278,201201100PHI,NBA,0,2012,10-01-12,9,0,PHI,Sixers,112,1581.4487,1587.451,49.632317,SAC,Kings,85,1417.3599,1411.3575,H,W,0.82057053,NULL
58535,201202100PHI,NBA,0,2012,10-02-12,27,0,PHI,Sixers,77,1579.098,1572.616,48.133911,LAC,Clippers,78,1527.8746,1534.3567,H,L,0.70485216,NULL
58995,201204100NJN,NBA,1,2012,10-04-12,57,0,PHI,Sixers,107,1489.6221,1504.139,41.024315,NJN,Nets,88,1366.9916,1352.4746,A,W,0.5325219,NULL
59170,201205100PHI,NBA,0,2012,10-05-12,72,1,PHI,Sixers,79,1547.6625,1551.4618,45.963795,CHI,Bulls,78,1631.1216,1627.3223,H,W,0.52378631,NULL
59300,201211100TOR,NBA,1,2013,10-11-12,6,0,PHI,Sixers,93,1541.76,1551.6627,45.956326,TOR,Raptors,83,1429.1904,1419.2877,A,W,0.51808119,NULL
59515,201212100PHI,NBA,0,2013,10-12-12,21,0,PHI,Sixers,104,1478.9594,1483.6135,38.844612,DET,Pistons,97,1438.1527,1433.4985,H,W,0.69222629,NULL
58288,201201110NYK,NBA,1,2012,11-01-12,10,0,PHI,Sixers,79,1587.451,1579.8766,48.869995,NYK,Knicks,85,1493.0426,1500.6171,A,L,0.49195379,NULL
58540,201202110CLE,NBA,1,2012,11-02-12,28,0,PHI,Sixers,99,1572.616,1582.6869,49.153526,CLE,Cavaliers,84,1399.2522,1389.1813,A,W,0.60403728,NULL
58746,201203110NYK,NBA,1,2012,11-03-12,42,0,PHI,Sixers,106,1573.381,1585.2832,49.414749,NYK,Knicks,94,1479.5669,1467.6647,A,W,0.4910987,NULL
59007,201204110TOR,NBA,1,2012,11-04-12,58,0,PHI,Sixers,93,1504.139,1519.5964,42.644844,TOR,Raptors,75,1408.1753,1392.7179,A,W,0.49419165,NULL
