DIST,DC_KEY,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,INSIDE,OUTSIDE,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION,SHAPE,Police Districts
39,201539008464,0411,02/02/2015 12:00:00 AM,17:13 pm,B,F,0,27,leg,0,-1,0,N,N,N,2600 Block of Roberts Ave.,POINT (-75.169937 40.015194),21
39,201539013240,0111,02/20/2015 12:00:00 AM,00:40 am,B,M,0,39,head-m,0,-1,-1,N,N,N,2600 Block of Silver St.,POINT (-75.174233 39.997368),21
39,201539013479,0111,02/20/2015 12:00:00 AM,19:22 pm,B,M,0,27,multi,0,-1,-1,N,N,N,1500 Block of W. Butler St.,POINT (-75.152576 40.01102),21
39,201539014167,0411,02/23/2015 12:00:00 AM,16:47 pm,B,M,0,19,stomach,0,-1,0,N,N,N,3100 Block of N. Taylor St.,POINT (-75.170284 40.002268),21
39,201539016835,0111,03/05/2015 12:00:00 AM,16:44 pm,B,M,-1,31,head-m,-1,0,-1,N,Y,N,2100 Block of W. Lehigh Ave.,POINT (-75.166006 39.995469),21
39,201539016835,0421,03/05/2015 12:00:00 AM,17:44 pm,B,M,0,29,leg,0,-1,0,Y,Y,N,2100 Block of W. Lehigh Ave.,POINT (-75.166006 39.995469),21
39,201539017208,0111,03/07/2015 12:00:00 AM,02:04 am,B,M,0,20,multi,0,-1,-1,N,N,N,2100 Block of W. Indiana Ave.,POINT (-75.165791 40.00007),21
39,201539017211,0411,03/07/2015 12:00:00 AM,02:30 am,B,M,0,28,leg,0,-1,0,N,N,N,4100 Block of N. Broad St.,POINT (-75.149728 40.016511),21
39,201539019621,3006,03/15/2015 12:00:00 AM,08:28 am,B,M,0,21,buttocks,0,-1,0,N,N,N,3200 Block of N. 15th St.,POINT (-75.154324 40.003122),21
39,201539027601,0300,04/10/2015 12:00:00 AM,20:20 pm,B,M,0,26,arm,0,-1,0,N,N,N,400 Block of W. Queen Lane.,POINT (-75.176774 40.024011),21
39,201539036721,0411,05/09/2015 12:00:00 AM,09:15 pm,B,F,0,21,stomach,0,-1,0,N,N,N,2900 Block of W. Lehigh Ave.,POINT (-75.18006 39.997287),21
39,201539037223,0111,05/11/2015 12:00:00 AM,01:40 pm,B,M,0,41,multi,0,-1,-1,N,N,N,2800 Block of N. Marston St.,POINT (-75.175665 39.998988),21
25,201525091195,0411,11/04/2015 12:00:00 AM,07:05 am,A,M,0,32,back,0,-1,0,N,N,N,100 Block of E. Eleanor St.,POINT (-75.123798 40.023819),18
39,201539090659,0411,11/10/2015 12:00:00 AM,15:16 pm,B,M,0,22,leg,0,-1,0,N,N,N,3800 Block of N. 15th St.,POINT (-75.15238 40.012034),21
39,201539092218,0117,11/15/2015 12:00:00 AM,18:47 pm,B,M,0,16,multi,0,-1,0,N,N,N,400 Block of W. School House Ln.,POINT (-75.179329 40.027858),21
39,201539092100,0411,11/15/2015 12:00:00 AM,03:25 am,B,M,0,26,chest,0,-1,0,N,N,N,3700 Block of N. 17th St.,POINT (-75.156075 40.009914),21
39,201539093667,0411,11/20/2015 12:00:00 AM,15:45 pm,B,M,0,16,leg,0,-1,0,N,N,N,1700 Block of W. Ontario St.,POINT (-75.15707 40.005254),21
