OBJECTID,CRN,CRASH_YEAR,UNIT_NUM,VEH_TYPE,BODY_TYPE,VEH_MOVEMENT,TRAVEL_SPD,VEHICLE_FAILURE
559,2011016004,2011,2,1,4,1,999,0
560,2011016005,2011,1,1,15,1,999,1
561,2011016005,2011,2,1,4,3,0,1
562,2011016006,2011,1,1,4,1,999,0
563,2011016006,2011,2,1,4,1,999,0
564,2011016008,2011,1,1,4,1,999,0
565,2011016008,2011,2,1,4,15,999,0
566,2011016009,2011,1,1,2,1,10,0
567,2011016009,2011,2,1,4,6,0,0
568,2011016010,2011,1,1,4,1,999,0
569,2011016010,2011,2,,,,,0
570,2011016011,2011,1,1,4,1,999,0
571,2011016011,2011,2,1,4,6,0,0
572,2011016012,2011,1,1,4,1,999,0
573,2011016012,2011,2,1,2,13,999,0
574,2011016014,2011,1,6,15,1,999,0
575,2011016014,2011,2,6,15,1,999,0
576,2011016015,2011,1,6,12,17,999,0
577,2011016015,2011,2,1,4,16,999,0
578,2011016016,2011,1,1,4,13,99,0
579,2011016016,2011,2,1,1,1,99,0
580,2011016017,2011,1,7,12,10,999,0
581,2011016019,2011,1,5,51,1,25,0
582,2011016019,2011,2,1,4,3,25,0
583,2011016020,2011,1,6,19,1,999,0
584,2011016020,2011,2,,,,,0
585,2011016025,2011,1,1,4,1,999,0
586,2011016025,2011,2,1,4,1,999,0
587,2011016026,2011,1,6,15,99,999,0
588,2011016026,2011,2,1,4,6,0,0
589,2011016027,2011,1,6,15,1,999,0
590,2011016027,2011,2,1,15,12,999,0
591,2011016028,2011,1,4,51,1,999,1
592,2011016028,2011,2,1,4,3,0,1
593,2011016195,2011,1,7,41,1,45,0
594,2011016195,2011,2,6,19,1,10,0
595,2011016195,2011,3,4,51,1,10,0
596,2011016196,2011,1,1,4,1,65,0
597,2011016207,2011,1,6,15,1,999,0
598,2011016207,2011,2,6,15,2,999,0
599,2011016207,2011,3,1,4,1,999,0
600,2011016207,2011,4,1,4,1,999,0
601,2011016918,2011,1,1,5,1,999,0
602,2011016918,2011,2,6,15,1,999,0
603,2011016920,2011,1,1,4,12,999,0
604,2011016920,2011,2,,,,,0
605,2011016923,2011,1,1,4,1,999,0
606,2011016923,2011,2,1,4,3,0,0
607,2011016923,2011,3,6,15,3,0,0
608,2011016925,2011,1,1,2,1,999,0
609,2011016925,2011,2,6,15,6,0,0
610,2011016925,2011,3,6,15,6,0,0
611,2011016925,2011,4,1,4,6,0,0
612,2011016925,2011,5,1,9,6,0,0
613,2011016926,2011,1,5,75,1,999,0
614,2011016931,2011,1,2,29,1,999,0
615,2011016931,2011,2,1,4,12,25,0
616,2011016933,2011,1,1,12,1,999,0
