OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
5303,2011054354,2011,2,25,,S
5304,2011054355,2011,2,25,,S
5305,2011054355,2011,2,25,,W
5306,2011054356,2011,1,35,3,N
5307,2011054356,2011,1,35,3,S
5308,2011054356,2011,2,35,,E
5309,2011054357,2011,2,,,E
5310,2011054358,2011,2,,,S
5311,2011054358,2011,2,25,,W
5312,2011054359,2011,2,25,3,E
5313,2011054359,2011,2,,,N
5314,2011054360,2011,2,25,,N
5315,2011054360,2011,2,25,,E
5316,2011054361,2011,4,30,3,N
5317,2011054361,2011,2,,,W
5318,2011054362,2011,2,35,3,S
5319,2011054362,2011,2,,,E
5320,2011054364,2011,2,30,3,N
5321,2011054364,2011,2,30,3,S
5322,2011054364,2011,2,25,,W
5323,2011054365,2011,2,35,3,S
5324,2011054365,2011,1,,,S
5325,2011054365,2011,5,,,W
5326,2011054366,2011,3,40,3,S
5327,2011054366,2011,2,25,,W
5328,2011054367,2011,2,35,3,W
5329,2011054368,2011,2,,,N
5330,2011054369,2011,2,35,3,N
5331,2011054369,2011,2,35,3,S
5332,2011054369,2011,1,25,,E
5333,2011054370,2011,2,35,3,N
5334,2011054371,2011,2,35,3,E
5335,2011054371,2011,1,25,,S
5336,2011054372,2011,3,25,3,N
5337,2011054372,2011,1,,,S
5338,2011054373,2011,2,35,3,N
5339,2011054373,2011,2,35,3,S
5340,2011054373,2011,2,,,E
5341,2011054374,2011,1,25,,N
5342,2011054374,2011,1,25,,W
5343,2011054376,2011,99,,,S
5344,2011054376,2011,99,,,E
5345,2011054377,2011,2,25,3,B
5346,2011054378,2011,4,35,3,N
5347,2011054378,2011,2,35,3,S
5348,2011054378,2011,2,35,,W
5349,2011054379,2011,2,25,3,E
5350,2011054379,2011,2,,,S
5351,2011054380,2011,3,25,3,N
5352,2011054380,2011,1,,,N
5353,2011054381,2011,2,,,W
5354,2011054382,2011,2,30,3,N
5355,2011054382,2011,2,30,3,S
5356,2011054382,2011,2,,,E
5357,2011054507,2011,3,55,1,W
5358,2011054509,2011,4,55,1,S
5359,2011054512,2011,4,55,1,N
5360,2011054513,2011,3,50,1,E
5361,2011054515,2011,3,55,1,S
5362,2011054516,2011,4,50,1,W
5363,2011054517,2011,2,50,1,W
5364,2011054517,2011,1,40,1,W
5365,2011054518,2011,4,55,1,N
5366,2011054519,2011,4,55,1,N
5367,2011054636,2011,1,15,,N
5368,2011054636,2011,1,15,,E
5369,2011055095,2011,3,40,3,N
5370,2011055203,2011,1,45,,E
5371,2011055448,2011,3,55,1,S
5372,2011055449,2011,3,50,1,E
5373,2011055450,2011,1,35,1,E
5374,2011055451,2011,3,55,1,S
5375,2011055455,2011,2,30,3,N
5376,2011055455,2011,2,35,1,W
5377,2011055457,2011,3,55,1,N
5378,2011055459,2011,3,55,1,S
5379,2011055461,2011,4,50,1,W
5380,2011055463,2011,3,55,1,N
5381,2011055464,2011,3,50,1,W
5382,2011055465,2011,4,50,1,W
5383,2011055466,2011,2,55,1,W
5384,2011055466,2011,1,,1,W
5385,2011055467,2011,4,55,1,N
5386,2011055580,2011,6,45,,W
5387,2011055701,2011,3,50,1,E
5388,2011055704,2011,4,55,1,S
5389,2011055705,2011,3,55,1,N
5390,2011055706,2011,4,55,1,S
5391,2011055707,2011,3,55,1,S
5392,2011055708,2011,2,50,1,W
5393,2011055709,2011,5,55,1,N
5394,2011055710,2011,2,50,1,W
5395,2011055710,2011,2,40,1,W
5396,2011055711,2011,3,55,1,S
5397,2011055711,2011,2,,1,S
5398,2011055712,2011,3,50,1,W
5399,2011055714,2011,4,50,1,E
5400,2011055715,2011,4,55,1,N
5401,2011055718,2011,2,55,1,E
